Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,VUDays,VTDays,TotalVAC,RUUseType,HousingServiceCentre,LocalGovtAuthority,StateElectorate
4610,3,Detached House,1/02/2021,1/02/2021,1/03/2021,3,13,16,Public Housing,MARYBOROUGH ,South Burnett,Nanango
4305,3,Duplex,1/09/2020,1/09/2020,1/09/2020,4,0,4,Public Housing,IPSWICH ,Ipswich,Ipswich
4510,3,Duplex,1/03/2021,1/03/2021,1/03/2021,4,0,4,Public Housing,MORETON BAY ,Moreton Bay,Morayfield
4132,4,Detached House,1/05/2021,1/05/2021,1/05/2021,4,0,4,Public Housing,LOGAN ,Logan,Woodridge
4702,4,Detached House,1/12/2020,1/12/2020,1/12/2020,4,1,5,Public Housing,ROCKHAMPTON ,Rockhampton,Rockhampton
4655,4,Detached House,1/05/2021,1/05/2021,1/05/2021,4,2,6,Public Housing,MARYBOROUGH ,Fraser Coast,Hervey Bay
4670,2,Apartment,1/11/2020,1/11/2020,1/11/2020,4,3,7,Public Housing,BUNDABERG ,Bundaberg,Bundaberg
4817,3,Detached House,1/02/2021,1/02/2021,1/03/2021,4,9,13,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4280,4,Detached House,1/12/2020,1/12/2020,1/01/2021,4,32,36,Public Housing,IPSWICH ,Logan,Logan
4179,4,Detached House,1/07/2020,1/07/2020,1/07/2020,5,0,5,Public Housing,BAYSIDE ,Brisbane,Lytton
4305,4,Detached House,1/12/2020,1/12/2020,1/12/2020,5,0,5,Public Housing,IPSWICH ,Ipswich,Ipswich West
4814,3,Detached House,1/12/2020,1/12/2020,1/12/2020,5,0,5,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4810,2,Apartment,1/01/2021,1/02/2021,1/02/2021,5,0,5,Public Housing,TOWNSVILLE ,Townsville,Townsville
4812,2,Apartment,1/01/2021,1/02/2021,1/02/2021,5,0,5,Public Housing,TOWNSVILLE ,Townsville,Townsville
4350,5,Detached House,1/04/2021,1/04/2021,1/04/2021,5,0,5,Public Housing,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Toowoomba North
4670,3,Detached House,1/05/2021,1/05/2021,1/05/2021,5,0,5,Public Housing,BUNDABERG ,Bundaberg,Bundaberg
4124,3,Detached House,1/05/2021,1/06/2021,1/06/2021,5,0,5,Public Housing,LOGAN ,Logan,Logan
4814,3,Detached House,1/12/2020,1/12/2020,1/12/2020,5,1,6,Public Housing,TOWNSVILLE ,Townsville,Townsville
4670,2,Apartment,1/04/2021,1/04/2021,1/04/2021,5,1,6,Public Housing,BUNDABERG ,Bundaberg,Bundaberg
4615,4,Detached House,1/06/2021,1/06/2021,1/06/2021,5,2,7,Public Housing,MARYBOROUGH ,South Burnett,Nanango
4610,3,Detached House,1/07/2020,1/07/2020,1/08/2020,5,5,10,Public Housing,MARYBOROUGH ,South Burnett,Nanango
4305,3,Detached House,1/07/2020,1/08/2020,1/08/2020,6,0,6,Public Housing,IPSWICH ,Ipswich,Ipswich West
4610,2,Apartment,1/08/2020,1/08/2020,1/08/2020,6,0,6,Public Housing,MARYBOROUGH ,South Burnett,Nanango
4301,4,Detached House,1/11/2020,1/11/2020,1/11/2020,6,6,12,Public Housing,IPSWICH ,Ipswich,Bundamba
4655,3,Detached House,1/07/2020,1/08/2020,1/08/2020,7,0,7,Public Housing,MARYBOROUGH ,Fraser Coast,Hervey Bay
4814,3,Detached House,1/10/2020,1/10/2020,1/10/2020,7,0,7,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4301,4,Detached House,1/01/2021,1/01/2021,1/01/2021,7,0,7,Public Housing,IPSWICH ,Ipswich,Bundamba
4655,4,Detached House,1/07/2020,1/07/2020,1/08/2020,7,4,11,Public Housing,MARYBOROUGH ,Fraser Coast,Maryborough
4304,4,Detached House,1/07/2020,1/08/2020,1/08/2020,7,6,13,Public Housing,IPSWICH ,Ipswich,Ipswich
4556,4,Detached House,1/09/2020,1/09/2020,1/09/2020,8,0,8,Public Housing,MAROOCHYDORE ,Sunshine Coast,Buderim
4131,4,Detached House,1/04/2021,1/04/2021,1/04/2021,8,0,8,Public Housing,LOGAN ,Logan,Waterford
4610,3,Detached House,1/03/2021,1/03/2021,1/03/2021,8,1,9,Public Housing,MARYBOROUGH ,South Burnett,Nanango
4812,4,Detached House,1/11/2020,1/11/2020,1/11/2020,9,1,10,Public Housing,TOWNSVILLE ,Townsville,Townsville
4551,4,Detached House,1/03/2021,1/03/2021,1/03/2021,10,0,10,Public Housing,MAROOCHYDORE ,Sunshine Coast,Caloundra
4670,4,Detached House,1/04/2021,1/05/2021,1/05/2021,11,0,11,Public Housing,BUNDABERG ,Bundaberg,Burnett
4615,3,Detached House,1/12/2020,1/12/2020,1/12/2020,12,3,15,Public Housing,MARYBOROUGH ,South Burnett,Nanango
4655,4,Detached House,1/02/2021,1/02/2021,1/02/2021,15,1,16,Public Housing,MARYBOROUGH ,Fraser Coast,Hervey Bay
4814,2,Apartment,1/01/2021,1/02/2021,1/02/2021,16,0,16,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4114,3,Detached House,1/05/2021,1/06/2021,1/06/2021,23,0,23,Public Housing,LOGAN ,Logan,Woodridge
4558,3,Duplex,1/09/2020,1/09/2020,1/09/2020,0,0,0,Public Housing,MAROOCHYDORE ,Sunshine Coast,Maroochydore
4401,4,Detached House,1/10/2020,1/10/2020,1/10/2020,0,0,0,Public Housing,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Condamine
4700,2,Townhouse,1/12/2020,1/12/2020,1/12/2020,0,0,0,Public Housing,ROCKHAMPTON ,Rockhampton,Rockhampton
4102,4,Detached House,1/06/2021,1/06/2021,1/06/2021,0,0,0,Public Housing,FORTITUDE VALLEY ,Brisbane,South Brisbane
4303,2,Apartment,1/09/2020,1/09/2020,1/09/2020,0,1,1,Public Housing,IPSWICH ,Ipswich,Bundamba
4700,2,Townhouse,1/12/2020,1/12/2020,1/12/2020,0,1,1,Public Housing,ROCKHAMPTON ,Rockhampton,Rockhampton
4702,4,Detached House,1/12/2020,1/12/2020,1/12/2020,0,1,1,Public Housing,ROCKHAMPTON ,Rockhampton,Rockhampton
4655,2,Apartment,1/05/2021,1/05/2021,1/05/2021,0,4,4,Public Housing,MARYBOROUGH ,Fraser Coast,Hervey Bay
4560,3,Townhouse,1/02/2021,1/02/2021,1/02/2021,0,5,5,Public Housing,MAROOCHYDORE ,Sunshine Coast,Nicklin
4300,4,Detached House,1/11/2020,1/11/2020,1/11/2020,0,8,8,Public Housing,IPSWICH ,Ipswich,Bundamba
4812,2,Apartment,1/03/2021,1/03/2021,1/04/2021,0,28,28,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4161,4,Detached House,1/06/2020,1/07/2020,1/07/2020,1,0,1,Public Housing,BAYSIDE ,Redland,Capalaba
4551,4,Detached House,1/08/2020,1/08/2020,1/08/2020,1,0,1,Public Housing,MAROOCHYDORE ,Sunshine Coast,Caloundra
4300,4,Detached House,1/12/2020,1/12/2020,1/12/2020,1,0,1,Public Housing,IPSWICH ,Ipswich,Jordan
4680,2,Apartment,1/04/2021,1/04/2021,1/04/2021,1,0,1,Public Housing,GLADSTONE ,Gladstone,Gladstone
4508,1,Apartment,1/09/2020,1/09/2020,1/09/2020,1,1,2,Public Housing,MORETON BAY ,Moreton Bay,Bancroft
4114,3,Detached House,1/12/2020,1/12/2020,1/12/2020,1,1,2,Public Housing,LOGAN ,Logan,Woodridge
4131,2,Detached House,1/10/2020,1/10/2020,1/10/2020,1,2,3,Public Housing,LOGAN ,Logan,Waterford
4710,4,Detached House,1/11/2020,1/11/2020,1/11/2020,1,4,5,Public Housing,ROCKHAMPTON ,Livingstone,Keppel
4301,2,Apartment,1/11/2020,1/11/2020,1/11/2020,1,0,1,Public Housing,IPSWICH ,Ipswich,Bundamba
0,1,Apartment,1/10/2020,1/10/2020,1/10/2020,1,0,1,Public Housing,BAYSIDE ,Brisbane,Lytton
4178,1,Apartment,1/12/2020,1/12/2020,1/12/2020,1,0,1,Public Housing,BAYSIDE ,Brisbane,Lytton
0,1,Apartment,1/07/2020,1/07/2020,1/07/2020,1,0,1,Public Housing,BAYSIDE ,Brisbane,Lytton
4127,2,Apartment,1/05/2021,1/05/2021,1/05/2021,1,0,1,Public Housing,LOGAN ,Logan,Springwood
0,2,Apartment,1/02/2021,1/02/2021,1/02/2021,1,0,1,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4702,4,Detached House,1/05/2021,1/05/2021,1/05/2021,1,0,1,Public Housing,ROCKHAMPTON ,Rockhampton,Rockhampton
4701,5,Detached House,1/11/2020,1/11/2020,1/11/2020,1,0,1,Public Housing,ROCKHAMPTON ,Rockhampton,Keppel
4817,2,Duplex,1/05/2021,1/05/2021,1/05/2021,1,0,1,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4814,3,Detached House,1/05/2021,1/05/2021,1/05/2021,1,0,1,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
0,2,Duplex,1/02/2021,1/02/2021,1/02/2021,1,1,2,Public Housing,TOWNSVILLE ,Townsville,Townsville
4173,2,Apartment,1/11/2020,1/11/2020,1/11/2020,1,1,2,Public Housing,BAYSIDE ,Brisbane,Lytton
4179,1,Detached House,1/08/2020,1/08/2020,1/08/2020,1,1,2,Public Housing,BAYSIDE ,Brisbane,Lytton
4812,2,Apartment,1/05/2021,1/05/2021,1/05/2021,1,1,2,Public Housing,TOWNSVILLE ,Townsville,Townsville
4563,3,Detached House,1/01/2021,1/01/2021,1/01/2021,1,1,2,Public Housing,MAROOCHYDORE ,Noosa,Nicklin
4812,2,Apartment,1/02/2021,1/03/2021,1/03/2021,1,1,2,Public Housing,TOWNSVILLE ,Townsville,Townsville
4817,3,Detached House,1/03/2021,1/03/2021,1/03/2021,1,1,2,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4558,3,Detached House,1/11/2020,1/11/2020,1/11/2020,1,1,2,Public Housing,MAROOCHYDORE ,Sunshine Coast,Maroochydore
4019,4,Duplex,1/03/2021,1/03/2021,1/03/2021,1,1,2,Public Housing,MORETON BAY ,Moreton Bay,Redcliffe
4810,2,Apartment,1/03/2021,1/03/2021,1/04/2021,1,1,2,Public Housing,TOWNSVILLE ,Townsville,Townsville
4173,2,Apartment,1/10/2020,1/10/2020,1/10/2020,1,2,3,Public Housing,BAYSIDE ,Brisbane,Lytton
4815,2,Detached House,1/05/2021,1/05/2021,1/05/2021,1,3,4,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4158,4,Detached House,1/09/2020,1/09/2020,1/09/2020,1,3,4,Public Housing,BAYSIDE ,Redland,Capalaba
4814,2,Townhouse,1/03/2021,1/03/2021,1/03/2021,1,3,4,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4817,2,Apartment,1/04/2021,1/04/2021,1/04/2021,1,3,4,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4814,4,Detached House,1/01/2021,1/02/2021,1/02/2021,1,4,5,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
0,1,Apartment,1/11/2020,1/11/2020,1/12/2020,1,5,6,Public Housing,BAYSIDE ,Brisbane,Lytton
