Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,RUUseType,VUDays,VTDays,TotalVAC,HousingServiceCentre,LocalGovtAuthority,StateElectorate
4305,3,Detached House,1/02/2021,1/02/2021,1/02/2021,Public Housing,1,1,2,IPSWICH ,Ipswich,Ipswich West
4301,2,Apartment,1/02/2021,1/02/2021,1/02/2021,Public Housing,1,1,2,IPSWICH ,Ipswich,Bundamba
4305,2,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,1,1,2,IPSWICH ,Ipswich,Ipswich West
4300,4,Detached House,1/12/2020,1/12/2020,1/12/2020,Public Housing,1,1,2,IPSWICH ,Ipswich,Bundamba
4303,2,Apartment,1/03/2021,1/03/2021,1/03/2021,Public Housing,1,1,2,IPSWICH ,Ipswich,Bundamba
4655,4,Detached House,1/06/2021,1/06/2021,1/06/2021,Public Housing,1,1,2,MARYBOROUGH ,Fraser Coast,Hervey Bay
4133,2,Townhouse,1/07/2020,1/07/2020,1/07/2020,Public Housing,1,3,4,LOGAN ,Logan,Waterford
4610,3,Detached House,1/12/2020,1/12/2020,1/12/2020,Public Housing,1,3,4,MARYBOROUGH ,South Burnett,Nanango
4305,2,Detached House,1/01/2021,1/01/2021,1/01/2021,Public Housing,1,3,4,IPSWICH ,Ipswich,Ipswich West
4301,4,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,1,3,4,IPSWICH ,Ipswich,Bundamba
4305,2,Duplex,1/03/2021,1/03/2021,1/03/2021,Public Housing,1,4,5,IPSWICH ,Ipswich,Ipswich
4305,4,Detached House,1/04/2021,1/04/2021,1/04/2021,Public Housing,1,4,5,IPSWICH ,Ipswich,Ipswich West
4301,4,Detached House,1/05/2021,1/05/2021,1/06/2021,Public Housing,1,4,5,IPSWICH ,Ipswich,Bundamba
4812,2,Apartment,1/09/2020,1/09/2020,1/09/2020,Public Housing,1,5,6,TOWNSVILLE ,Townsville,Townsville
4817,4,Detached House,1/01/2021,1/01/2021,1/01/2021,Public Housing,1,9,10,TOWNSVILLE ,Townsville,Thuringowa
4304,3,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,1,9,10,IPSWICH ,Ipswich,Bundamba
4179,2,Apartment,1/09/2020,1/09/2020,1/09/2020,Public Housing,1,11,12,BAYSIDE ,Brisbane,Lytton
4301,4,Detached House,1/04/2021,1/04/2021,1/05/2021,Public Housing,1,11,12,IPSWICH ,Ipswich,Bundamba
4158,2,Townhouse,1/06/2021,1/06/2021,1/06/2021,Public Housing,1,24,25,BAYSIDE ,Redland,Capalaba
4670,4,Detached House,1/09/2020,1/09/2020,1/10/2020,Public Housing,1,35,36,BUNDABERG ,Bundaberg,Bundaberg
4305,3,Duplex,1/04/2021,1/04/2021,1/04/2021,Public Housing,1,1,2,IPSWICH ,Ipswich,Ipswich
4301,3,Detached House,1/08/2020,1/08/2020,1/08/2020,Public Housing,1,1,2,IPSWICH ,Ipswich,Bundamba
4650,2,Apartment,1/08/2020,1/08/2020,1/08/2020,Public Housing,1,1,2,MARYBOROUGH ,Fraser Coast,Maryborough
4558,4,Detached House,1/07/2020,1/07/2020,1/07/2020,Public Housing,2,0,2,MAROOCHYDORE ,Sunshine Coast,Maroochydore
4303,2,Apartment,1/02/2021,1/02/2021,1/02/2021,Public Housing,2,0,2,IPSWICH ,Ipswich,Bundamba
4132,4,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,2,0,2,LOGAN ,Logan,Woodridge
4350,3,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,2,0,2,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Toowoomba North
4124,4,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,2,0,2,LOGAN ,Logan,Logan
4655,4,Detached House,1/06/2020,1/07/2020,1/07/2020,Public Housing,2,1,3,MARYBOROUGH ,Fraser Coast,Maryborough
4510,3,Detached House,1/09/2020,1/09/2020,1/09/2020,Public Housing,2,1,3,MORETON BAY ,Moreton Bay,Morayfield
4118,4,Detached House,1/10/2020,1/10/2020,1/10/2020,Public Housing,2,1,3,LOGAN ,Logan,Algester
4109,5,Detached House,1/01/2021,1/01/2021,1/01/2021,Public Housing,2,1,3,BURANDA ,Brisbane,Stretton
4655,4,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,2,1,3,MARYBOROUGH ,Fraser Coast,Hervey Bay
4650,3,Detached House,1/08/2020,1/08/2020,1/08/2020,Public Housing,2,3,5,MARYBOROUGH ,Fraser Coast,Maryborough
4304,3,Detached House,1/08/2020,1/08/2020,1/08/2020,Public Housing,2,4,6,IPSWICH ,Ipswich,Bundamba
4680,3,Detached House,1/12/2020,1/12/2020,1/12/2020,Public Housing,2,4,6,GLADSTONE ,Gladstone,Gladstone
4650,2,Apartment,1/12/2020,1/12/2020,1/12/2020,Public Housing,2,4,6,MARYBOROUGH ,Fraser Coast,Maryborough
4131,2,Townhouse,1/02/2021,1/02/2021,1/02/2021,Public Housing,3,0,3,LOGAN ,Logan,Waterford
4077,4,Detached House,1/08/2020,1/08/2020,1/08/2020,Public Housing,3,2,5,INALA ,Brisbane,Inala
4670,2,Apartment,1/02/2021,1/02/2021,1/02/2021,Public Housing,3,3,6,BUNDABERG ,Bundaberg,Bundaberg
4610,3,Detached House,1/02/2021,1/02/2021,1/03/2021,Public Housing,3,13,16,MARYBOROUGH ,South Burnett,Nanango
4305,3,Duplex,1/09/2020,1/09/2020,1/09/2020,Public Housing,4,0,4,IPSWICH ,Ipswich,Ipswich
4510,3,Duplex,1/03/2021,1/03/2021,1/03/2021,Public Housing,4,0,4,MORETON BAY ,Moreton Bay,Morayfield
4132,4,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,4,0,4,LOGAN ,Logan,Woodridge
4702,4,Detached House,1/12/2020,1/12/2020,1/12/2020,Public Housing,4,1,5,ROCKHAMPTON ,Rockhampton,Rockhampton
